ID,Timestamp,ax,ay,az,gx,gy,gz,Label,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads
215,214591,2956,-1412.0,15264.0,116.0,365.0,-213.0,meja,1.7693150268554687,-0.8451531860351562,9.13627353515625,0.015454823910789483,0.04862940282274277,-0.028378254249984136
216,215593,2456,-1292.0,15176.0,-173.0,302.0,-134.0,meja,1.4700398193359374,-0.7733271362304687,9.083601098632812,-0.023049004625573973,0.04023583466429676,-0.017852986241774057
217,216595,2288,-1384.0,15092.0,-92.0,189.0,-172.0,meja,1.369483349609375,-0.8283937744140625,9.03332286376953,-0.012257274136143382,0.025180704475338038,-0.022915773384963714
218,217598,2308,-1512.0,15104.0,1.0,20.0,-132.0,meja,1.3814543579101561,-0.9050082275390624,9.04050546875,0.00013323124061025415,0.0026646248122050836,-0.017586523760553547
219,218600,2388,-1464.0,15132.0,-169.0,149.0,-94.0,meja,1.429338391113281,-0.8762778076171874,9.057264880371093,-0.022516079663132953,0.01985145485092787,-0.012523736617363892
220,219602,2244,-1796.0,15272.0,-130.0,242.0,-140.0,meja,1.3431471313476562,-1.0749965454101562,9.141061938476563,-0.01732006127933304,0.032241960227681506,-0.018652373685435583
221,220605,2416,-920.0,15292.0,735.0,779.0,-375.0,meja,1.446097802734375,-0.5506663818359374,9.153032946777342,0.09792496184853682,0.10378713643538799,-0.049961715228845315
222,221607,1792,-996.0,15404.0,343.0,705.0,-268.0,meja,1.0726023437499999,-0.5961562133789062,9.220070593261719,0.04569831552931718,0.09392802463022919,-0.035705972483548114
223,222610,2020,-1292.0,15356.0,59.0,10.0,-309.0,meja,1.209071838378906,-0.7733271362304687,9.191340173339842,0.007860643196004996,0.0013323124061025418,-0.041168453348568536
224,223612,2948,-20.0,15152.0,-120.0,-142.0,-177.0,meja,1.7645266235351562,-0.011971008300781249,9.069235888671875,-0.015987748873230498,-0.018918836166656093,-0.023581929588014985
225,224614,2616,-844.0,15072.0,-102.0,14.0,0.0,meja,1.5658078857421873,-0.5051765502929687,9.02135185546875,-0.013589586542245924,0.0018652373685435584,0.0
226,225617,2616,-1096.0,15260.0,-210.0,154.0,-202.0,meja,1.5658078857421873,-0.6560112548828124,9.133879333496093,-0.027978560528153375,0.020517611053979142,-0.02691271060327134
227,226619,2340,-1128.0,15008.0,1174.0,136.0,-476.0,meja,1.4006079711914061,-0.6751648681640625,8.98304462890625,0.15641347647643838,0.018119448722994567,-0.06341807053048099
228,227621,2588,-1120.0,15216.0,249.0,-134.0,401.0,meja,1.5490484741210937,-0.6703764648437499,9.107543115234375,0.03317457891195329,-0.017852986241774057,0.05342572748471192
229,228624,2356,-744.0,15224.0,55.0,131.0,-66.0,meja,1.4101847778320311,-0.44532150878906246,9.112331518554686,0.0073277182335639785,0.017453292519943295,-0.008793261880276773
230,229626,2756,-864.0,15056.0,-147.0,55.0,-158.0,meja,1.649604943847656,-0.51714755859375,9.011775048828124,-0.01958499236970736,0.0073277182335639785,-0.02105053601642016
231,230629,2528,-1344.0,15164.0,-80.0,202.0,-142.0,meja,1.5131354492187499,-0.8044517578125,9.076418493652342,-0.010658499248820334,0.02691271060327134,-0.018918836166656093
246,245664,-10548,-11692.0,-2488.0,178.0,391.0,66.0,mulut,-6.313509777832031,-6.998251452636718,-1.4891934326171874,0.02371516082862524,0.05209341507860938,0.008793261880276773
247,246666,-10640,-12204.0,-3024.0,395.0,413.0,-223.0,mulut,-6.368576416015625,-7.304709265136719,-1.8100164550781248,0.05262634004105039,0.05502450237203497,-0.02971056665608668
248,247669,-10500,-11924.0,-2796.0,-261.0,222.0,-224.0,mulut,-6.284779357910156,-7.137115148925781,-1.6735469604492186,-0.03477335379927634,0.029577335415476424,-0.029843797896696934
249,248671,-10560,-12232.0,-2664.0,130.0,216.0,-177.0,mulut,-6.320692382812499,-7.321468676757812,-1.5945383056640625,0.01732006127933304,0.0287779479718149,-0.023581929588014985
250,249674,-10892,-11828.0,-2288.0,-610.0,3.0,-1318.0,mulut,-6.519411120605469,-7.079654309082031,-1.369483349609375,-0.08127105677225505,0.0003996937218307625,-0.175598775124315
251,250676,-8328,-13852.0,-5236.0,1183.0,91.0,-534.0,mulut,-4.984727856445312,-8.291120349121094,-3.134009973144531,0.15761255764193066,0.01212404289553313,-0.07114548248587572
252,251678,-9608,-13232.0,-1676.0,916.0,-182.0,386.0,mulut,-5.7508723876953125,-7.920019091796875,-1.0031704956054688,0.1220398163989928,-0.02424808579106626,0.0514272588755581
